asset_value,case_id,compensation_id,compensation_status,interest_12pct_amount,market_value_base,multiplier_factor,severance_damage,solatium_amount,source_type,subtotal_before_solatium,total_compensation
584800.22,AC00071,CR00071,disputed,327216.38,3317610.52,1.35,105987.49,5169561.91,MODEL_DERIVED,5169561.91,10666340.2
111751.36,AC00072,CR00072,disbursed,124175.75,1259004.09,1.36,44019.76,1868016.68,MODEL_DERIVED,1868016.68,3860209.11
285918.53,AC00074,CR00074,disputed,145435.1,1474550.36,1.9,22776.85,3110341.06,MODEL_DERIVED,3110341.06,6366117.22
602456.26,AC00075,CR00075,disbursed,541379.62,5488987.84,1.88,137717.27,11059470.67,MODEL_DERIVED,11059470.67,22660320.96
166464.62,AC00076,CR00076,disbursed,475195.21,4817951.39,1.34,231958.65,6854478.13,MODEL_DERIVED,6854478.13,14184151.47
115384.73,AC00077,CR00077,disbursed,143442.9,1454351.66,1.39,8987.07,2145920.61,MODEL_DERIVED,2145920.61,4435284.12
522647.54,AC00080,CR00080,disputed,194066.7,1967620.68,1.73,64431.89,3991063.21,MODEL_DERIVED,3991063.21,8176193.12
384297.91,AC00082,CR00082,disbursed,148985.35,1510545.88,1.12,34343.57,2110452.87,MODEL_DERIVED,2110452.87,4369891.09
1063017.01,AC00083,CR00083,disbursed,456749.23,4630929.74,1.07,47966.56,6066078.39,MODEL_DERIVED,6066078.39,12588906.01
324829.87,AC00084,CR00084,disbursed,133740.18,1355976.83,1.54,7452.88,2420487.07,MODEL_DERIVED,2420487.07,4974714.32
239207.98,AC00085,CR00085,disbursed,149488.47,1515646.98,1.74,56508.27,2932942.0,MODEL_DERIVED,2932942.0,6015372.47
190941.5,AC00088,CR00088,disbursed,107241.33,1087307.94,1.62,38716.47,1991096.83,MODEL_DERIVED,1991096.83,4089434.99
707486.14,AC00089,CR00089,disbursed,302483.04,3066841.91,1.65,110535.1,5878310.39,MODEL_DERIVED,5878310.39,12059103.82
166653.98,AC00090,CR00090,disbursed,146380.44,1484135.03,1.67,11326.84,2656486.32,MODEL_DERIVED,2656486.32,5459353.08
87613.11,AC00091,CR00091,disputed,30110.36,305285.56,1.06,8573.69,419789.49,MODEL_DERIVED,419789.49,869689.34
505340.33,AC00092,CR00092,disbursed,472461.51,4790234.76,1.6,138418.27,8308134.22,MODEL_DERIVED,8308134.22,17088729.95
69763.79,AC00095,CR00095,disbursed,161664.12,1639094.54,1.4,51891.44,2416387.59,MODEL_DERIVED,2416387.59,4994439.3
248949.9,AC00096,CR00096,disbursed,137274.87,1391814.69,1.94,61472.43,3010542.83,MODEL_DERIVED,3010542.83,6158360.53
113779.1,AC00098,CR00098,disputed,169631.29,1719872.81,1.31,84656.07,2451468.55,MODEL_DERIVED,2451468.55,5072568.39
132392.77,AC00099,CR00099,disbursed,336928.84,3416084.12,1.43,90967.31,5108360.37,MODEL_DERIVED,5108360.37,10553649.58
28017.93,AC00102,CR00102,disbursed,120600.28,1222752.86,1.78,38713.86,2243231.88,MODEL_DERIVED,2243231.88,4607064.04
246598.85,AC00103,CR00103,disbursed,85224.71,864083.84,1.08,27130.02,1206939.42,MODEL_DERIVED,1206939.42,2499103.55
179609.19,AC00106,CR00106,disbursed,69040.17,699990.58,1.86,21525.0,1503116.67,MODEL_DERIVED,1503116.67,3075273.51
833554.39,AC00107,CR00107,disbursed,452963.04,4592541.91,1.19,115127.52,6413806.78,MODEL_DERIVED,6413806.78,13280576.6
262047.41,AC00108,CR00108,disbursed,236749.26,2400374.49,1.61,110169.6,4236819.94,MODEL_DERIVED,4236819.94,8710389.14
35628.04,AC00109,CR00109,disbursed,46482.24,471278.25,1.39,20066.23,710771.04,MODEL_DERIVED,710771.04,1468024.32
962121.41,AC00111,CR00111,disbursed,317213.47,3216192.13,1.95,146730.4,7380426.46,MODEL_DERIVED,7380426.46,15078066.39
184820.79,AC00112,CR00112,disbursed,268218.33,2719435.86,1.49,18705.01,4255485.23,MODEL_DERIVED,4255485.23,8779188.79
105283.13,AC00115,CR00115,disbursed,111848.86,1134023.16,1.53,45849.91,1886188.47,MODEL_DERIVED,1886188.47,3884225.8
713310.85,AC00117,CR00117,disbursed,422896.17,4287697.28,1.87,21993.69,8753298.45,MODEL_DERIVED,8753298.45,17929493.07
125505.97,AC00119,CR00119,disbursed,110058.26,1115868.49,1.99,1572.68,2347656.95,MODEL_DERIVED,2347656.95,4805372.16
933064.31,AC00120,CR00120,disbursed,434791.13,4408298.91,1.14,98878.47,6057403.54,MODEL_DERIVED,6057403.54,12549598.21
18962.14,AC00123,CR00123,disbursed,25914.6,262745.29,1.61,5472.56,447454.62,MODEL_DERIVED,447454.62,920823.84
162831.2,AC00125,CR00125,disputed,81468.86,826003.7,1.24,4281.34,1191357.13,MODEL_DERIVED,1191357.13,2464183.12
95716.68,AC00127,CR00127,disputed,39777.69,403301.6,1.2,17862.03,597540.63,MODEL_DERIVED,597540.63,1234858.95
619037.83,AC00128,CR00128,disbursed,260640.95,2642609.61,1.36,114398.34,4327385.24,MODEL_DERIVED,4327385.24,8915411.43
942155.46,AC00129,CR00129,disbursed,622583.27,6312302.6,1.5,291726.37,10702335.73,MODEL_DERIVED,10702335.73,22027254.73
456387.05,AC00131,CR00131,disputed,234639.97,2378988.57,1.43,94145.84,3952486.55,MODEL_DERIVED,3952486.55,8139613.07
222249.22,AC00132,CR00132,disputed,93519.92,948188.12,1.61,1649.8,1750481.89,MODEL_DERIVED,1750481.89,3594483.7
456826.25,AC00133,CR00133,disbursed,156362.64,1585343.46,1.28,2054.08,2488119.96,MODEL_DERIVED,2488119.96,5132602.56
1152025.15,AC00134,CR00134,disbursed,413264.28,4190040.6,1.29,102907.44,6660084.96,MODEL_DERIVED,6660084.96,13733434.2
796275.5,AC00135,CR00135,disbursed,475982.85,4825937.18,1.71,70063.51,9118691.59,MODEL_DERIVED,9118691.59,18713366.03
825796.15,AC00139,CR00139,disputed,424346.99,4302406.95,1.78,39143.97,8523224.49,MODEL_DERIVED,8523224.49,17470795.97
87067.38,AC00145,CR00145,disbursed,199242.37,2020096.29,1.34,87014.14,2881010.55,MODEL_DERIVED,2881010.55,5961263.47
74650.31,AC00146,CR00146,disbursed,174211.94,1766315.54,1.45,4469.25,2640277.09,MODEL_DERIVED,2640277.09,5454766.12
644459.05,AC00148,CR00148,disbursed,363210.92,3682555.12,1.24,8959.31,5219786.71,MODEL_DERIVED,5219786.71,10802784.34
745121.93,AC00149,CR00149,disbursed,320703.57,3251577.88,1.73,59493.69,6429845.35,MODEL_DERIVED,6429845.35,13180394.27
117605.12,AC00151,CR00151,disbursed,259597.99,2632035.21,1.52,117537.7,4235836.34,MODEL_DERIVED,4235836.34,8731270.67
276252.94,AC00152,CR00152,disbursed,185410.85,1879860.03,1.51,52910.94,3167752.53,MODEL_DERIVED,3167752.53,6520915.91
55626.89,AC00155,CR00155,disbursed,26485.57,268534.23,1.15,5510.02,369951.27,MODEL_DERIVED,369951.27,766388.11
134073.67,AC00156,CR00156,disbursed,46074.72,467146.45,1.38,10736.51,789472.28,MODEL_DERIVED,789472.28,1625019.28
120678.03,AC00163,CR00163,disputed,251201.07,2546899.76,1.98,83142.63,5246682.18,MODEL_DERIVED,5246682.18,10744565.43
275714.56,AC00164,CR00164,disbursed,157882.97,1600757.94,1.09,42832.46,2063373.17,MODEL_DERIVED,2063373.17,4284629.31
125488.15,AC00168,CR00168,disbursed,213585.13,2165515.95,1.67,66151.59,3808051.38,MODEL_DERIVED,3808051.38,7829687.89
35344.58,AC00169,CR00169,disbursed,44558.26,451771.22,1.25,5320.09,605378.69,MODEL_DERIVED,605378.69,1255315.64
457668.75,AC00172,CR00172,disbursed,361832.45,3668579.03,1.61,100745.51,6464826.5,MODEL_DERIVED,6464826.5,13291485.45
111910.84,AC00173,CR00173,disputed,52279.59,530056.98,1.45,2069.94,882563.4,MODEL_DERIVED,882563.4,1817406.39
464627.25,AC00174,CR00174,disbursed,213070.63,2160299.48,1.68,52800.74,4146731.12,MODEL_DERIVED,4146731.12,8506532.87
29832.96,AC00176,CR00176,disbursed,14003.86,141983.63,1.42,3841.82,235291.53,MODEL_DERIVED,235291.53,484586.92
501482.31,AC00177,CR00177,disbursed,166057.11,1683634.57,1.42,32197.8,2924441.2,MODEL_DERIVED,2924441.2,6014939.51
173262.63,AC00180,CR00180,disbursed,302222.62,3064201.57,1.16,134090.71,3861827.16,MODEL_DERIVED,3861827.16,8025876.94
167905.0,AC00181,CR00181,disbursed,123648.22,1253655.57,1.59,42124.31,2203341.67,MODEL_DERIVED,2203341.67,4530331.56
