award_date,case_id,declaration_date,notification_date,parcel_id,possession_date,source_type,status
,AC00055,,2025-07-31,P00055,,SYNTHETIC,notified
2025-11-19,AC00056,2025-07-07,2025-05-23,P00056,2026-03-19,SYNTHETIC,possessed
,AC00057,,2026-05-13,P00057,,SYNTHETIC,notified
,AC00058,,2025-12-11,P00058,,SYNTHETIC,notified
2025-04-20,AC00059,2024-12-06,2024-10-22,P00059,2025-08-18,SYNTHETIC,possessed
2024-12-31,AC00060,2024-08-18,2024-07-04,P00060,2025-04-30,SYNTHETIC,possessed
,AC00061,,2026-02-18,P00061,,SYNTHETIC,notified
,AC00062,,2024-06-24,P00062,,SYNTHETIC,notified
,AC00063,,2025-12-26,P00063,,SYNTHETIC,notified
2024-09-25,AC00064,2024-05-13,2024-03-29,P00064,,SYNTHETIC,compensation_pending
2025-10-10,AC00065,2025-05-28,2025-04-13,P00065,2026-02-07,SYNTHETIC,possessed
,AC00066,,2024-09-10,P00066,,SYNTHETIC,notified
,AC00067,,2024-05-21,P00067,,SYNTHETIC,notified
,AC00068,,2024-06-03,P00068,,SYNTHETIC,notified
2024-10-10,AC00069,2024-05-28,2024-04-13,P00069,2025-02-07,SYNTHETIC,possessed
2026-05-02,AC00070,2025-12-18,2025-11-03,P00070,2026-08-30,SYNTHETIC,possessed
2026-10-20,AC00071,2026-06-07,2026-04-23,P00071,,SYNTHETIC,compensation_pending
2026-05-06,AC00072,2025-12-22,2025-11-07,P00072,,SYNTHETIC,compensation_pending
,AC00073,,2024-05-04,P00073,,SYNTHETIC,notified
2026-08-16,AC00074,2026-04-03,2026-02-17,P00074,,SYNTHETIC,compensation_pending
2026-08-21,AC00075,2026-04-08,2026-02-22,P00075,2026-12-19,SYNTHETIC,possessed
2026-03-07,AC00076,2025-10-23,2025-09-08,P00076,2026-07-05,SYNTHETIC,possessed
2025-12-25,AC00077,2025-08-12,2025-06-28,P00077,,SYNTHETIC,compensation_pending
,AC00078,,2024-10-21,P00078,,SYNTHETIC,notified
,AC00079,,2025-02-18,P00079,,SYNTHETIC,notified
2025-10-31,AC00080,2025-06-18,2025-05-04,P00080,,SYNTHETIC,compensation_pending
,AC00081,,2025-11-08,P00081,,SYNTHETIC,notified
2026-03-27,AC00082,2025-11-12,2025-09-28,P00082,2026-07-25,SYNTHETIC,possessed
2024-10-20,AC00083,2024-06-07,2024-04-23,P00083,2025-02-17,SYNTHETIC,possessed
2026-08-08,AC00084,2026-03-26,2026-02-09,P00084,2026-12-06,SYNTHETIC,possessed
2026-04-07,AC00085,2025-11-23,2025-10-09,P00085,2026-08-05,SYNTHETIC,possessed
,AC00086,,2024-06-23,P00086,,SYNTHETIC,notified
,AC00087,,2025-04-27,P00087,,SYNTHETIC,notified
2026-10-28,AC00088,2026-06-15,2026-05-01,P00088,2027-02-25,SYNTHETIC,possessed
2026-09-08,AC00089,2026-04-26,2026-03-12,P00089,2027-01-06,SYNTHETIC,possessed
2026-02-17,AC00090,2025-10-05,2025-08-21,P00090,2026-06-17,SYNTHETIC,possessed
2024-09-24,AC00091,2024-05-12,2024-03-28,P00091,,SYNTHETIC,compensation_pending
2026-11-12,AC00092,2026-06-30,2026-05-16,P00092,,SYNTHETIC,compensation_pending
,AC00093,,2024-05-13,P00093,,SYNTHETIC,notified
,AC00094,,2025-10-07,P00094,,SYNTHETIC,notified
2026-08-10,AC00095,2026-03-28,2026-02-11,P00095,2026-12-08,SYNTHETIC,possessed
2024-12-26,AC00096,2024-08-13,2024-06-29,P00096,2025-04-25,SYNTHETIC,possessed
,AC00097,,2025-04-11,P00097,,SYNTHETIC,notified
2025-08-23,AC00098,2025-04-10,2025-02-24,P00098,,SYNTHETIC,compensation_pending
2026-12-27,AC00099,2026-08-14,2026-06-30,P00099,2027-04-26,SYNTHETIC,possessed
,AC00100,,2024-07-11,P00100,,SYNTHETIC,notified
,AC00101,,2025-03-23,P00101,,SYNTHETIC,notified
2026-01-21,AC00102,2025-09-08,2025-07-25,P00102,,SYNTHETIC,compensation_pending
2024-11-16,AC00103,2024-07-04,2024-05-20,P00103,2025-03-16,SYNTHETIC,possessed
,AC00104,,2025-08-11,P00104,,SYNTHETIC,notified
,AC00105,,2025-09-29,P00105,,SYNTHETIC,notified
2026-03-16,AC00106,2025-11-01,2025-09-17,P00106,2026-07-14,SYNTHETIC,possessed
2024-09-26,AC00107,2024-05-14,2024-03-30,P00107,2025-01-24,SYNTHETIC,possessed
2025-10-11,AC00108,2025-05-29,2025-04-14,P00108,2026-02-08,SYNTHETIC,possessed
2026-09-29,AC00109,2026-05-17,2026-04-02,P00109,2027-01-27,SYNTHETIC,possessed
,AC00110,,2024-09-04,P00110,,SYNTHETIC,notified
2025-02-16,AC00111,2024-10-04,2024-08-20,P00111,2025-06-16,SYNTHETIC,possessed
2026-01-19,AC00112,2025-09-06,2025-07-23,P00112,2026-05-19,SYNTHETIC,possessed
,AC00113,,2025-07-28,P00113,,SYNTHETIC,notified
,AC00114,,2024-10-06,P00114,,SYNTHETIC,notified
2024-10-23,AC00115,2024-06-10,2024-04-26,P00115,2025-02-20,SYNTHETIC,possessed
,AC00116,,2024-05-02,P00116,,SYNTHETIC,notified
2026-11-11,AC00117,2026-06-29,2026-05-15,P00117,2027-03-11,SYNTHETIC,possessed
,AC00118,,2025-04-16,P00118,,SYNTHETIC,notified
2025-12-17,AC00119,2025-08-04,2025-06-20,P00119,2026-04-16,SYNTHETIC,possessed
2025-09-07,AC00120,2025-04-25,2025-03-11,P00120,2026-01-05,SYNTHETIC,possessed
,AC00121,,2025-01-13,P00121,,SYNTHETIC,notified
,AC00122,,2026-03-16,P00122,,SYNTHETIC,notified
2026-03-11,AC00123,2025-10-27,2025-09-12,P00123,2026-07-09,SYNTHETIC,possessed
,AC00124,,2024-12-17,P00124,,SYNTHETIC,notified
2024-10-18,AC00125,2024-06-05,2024-04-21,P00125,,SYNTHETIC,compensation_pending
,AC00126,,2024-05-01,P00126,,SYNTHETIC,notified
2025-09-22,AC00127,2025-05-10,2025-03-26,P00127,,SYNTHETIC,compensation_pending
2025-03-12,AC00128,2024-10-28,2024-09-13,P00128,2025-07-10,SYNTHETIC,possessed
2026-01-21,AC00129,2025-09-08,2025-07-25,P00129,,SYNTHETIC,compensation_pending
,AC00130,,2025-04-07,P00130,,SYNTHETIC,notified
2026-01-07,AC00131,2025-08-25,2025-07-11,P00131,,SYNTHETIC,compensation_pending
2026-12-03,AC00132,2026-07-21,2026-06-06,P00132,,SYNTHETIC,compensation_pending
2025-11-22,AC00133,2025-07-10,2025-05-26,P00133,2026-03-22,SYNTHETIC,possessed
2026-05-29,AC00134,2026-01-14,2025-11-30,P00134,2026-09-26,SYNTHETIC,possessed
2026-02-10,AC00135,2025-09-28,2025-08-14,P00135,2026-06-10,SYNTHETIC,possessed
,AC00136,,2025-11-20,P00136,,SYNTHETIC,notified
,AC00137,,2024-10-19,P00137,,SYNTHETIC,notified
,AC00138,,2025-05-14,P00138,,SYNTHETIC,notified
2026-08-25,AC00139,2026-04-12,2026-02-26,P00139,,SYNTHETIC,compensation_pending
,AC00140,,2026-01-20,P00140,,SYNTHETIC,notified
,AC00141,,2025-01-07,P00141,,SYNTHETIC,notified
,AC00142,,2024-10-26,P00142,,SYNTHETIC,notified
,AC00143,,2024-11-24,P00143,,SYNTHETIC,notified
,AC00144,,2025-02-28,P00144,,SYNTHETIC,notified
2025-08-26,AC00145,2025-04-13,2025-02-27,P00145,2025-12-24,SYNTHETIC,possessed
2025-09-13,AC00146,2025-05-01,2025-03-17,P00146,2026-01-11,SYNTHETIC,possessed
,AC00147,,2024-11-23,P00147,,SYNTHETIC,notified
2025-08-04,AC00148,2025-03-22,2025-02-05,P00148,2025-12-02,SYNTHETIC,possessed
2026-08-19,AC00149,2026-04-06,2026-02-20,P00149,,SYNTHETIC,compensation_pending
,AC00150,,2026-03-08,P00150,,SYNTHETIC,notified
2026-01-27,AC00151,2025-09-14,2025-07-31,P00151,2026-05-27,SYNTHETIC,possessed
2026-01-24,AC00152,2025-09-11,2025-07-28,P00152,,SYNTHETIC,compensation_pending
,AC00153,,2024-05-04,P00153,,SYNTHETIC,notified
,AC00154,,2024-05-05,P00154,,SYNTHETIC,notified
2025-10-09,AC00155,2025-05-27,2025-04-12,P00155,2026-02-06,SYNTHETIC,possessed
2025-02-24,AC00156,2024-10-12,2024-08-28,P00156,2025-06-24,SYNTHETIC,possessed
,AC00157,,2025-10-10,P00157,,SYNTHETIC,notified
,AC00158,,2025-09-15,P00158,,SYNTHETIC,notified
,AC00159,,2024-06-29,P00159,,SYNTHETIC,notified
,AC00160,,2026-02-08,P00160,,SYNTHETIC,notified
,AC00161,,2026-02-17,P00161,,SYNTHETIC,notified
,AC00162,,2025-11-18,P00162,,SYNTHETIC,notified
2026-12-29,AC00163,2026-08-16,2026-07-02,P00163,,SYNTHETIC,compensation_pending
2026-11-04,AC00164,2026-06-22,2026-05-08,P00164,2027-03-04,SYNTHETIC,possessed
,AC00165,,2025-05-27,P00165,,SYNTHETIC,notified
,AC00166,,2025-09-19,P00166,,SYNTHETIC,notified
,AC00167,,2024-03-31,P00167,,SYNTHETIC,notified
2024-10-16,AC00168,2024-06-03,2024-04-19,P00168,2025-02-13,SYNTHETIC,possessed
2025-09-02,AC00169,2025-04-20,2025-03-06,P00169,2025-12-31,SYNTHETIC,possessed
,AC00170,,2025-11-08,P00170,,SYNTHETIC,notified
,AC00171,,2024-07-17,P00171,,SYNTHETIC,notified
2025-09-25,AC00172,2025-05-13,2025-03-29,P00172,2026-01-23,SYNTHETIC,possessed
2024-10-19,AC00173,2024-06-06,2024-04-22,P00173,,SYNTHETIC,compensation_pending
2025-07-20,AC00174,2025-03-07,2025-01-21,P00174,2025-11-17,SYNTHETIC,possessed
,AC00175,,2025-03-21,P00175,,SYNTHETIC,notified
2025-05-21,AC00176,2025-01-06,2024-11-22,P00176,2025-09-18,SYNTHETIC,possessed
2024-12-18,AC00177,2024-08-05,2024-06-21,P00177,2025-04-17,SYNTHETIC,possessed
,AC00178,,2025-07-16,P00178,,SYNTHETIC,notified
,AC00179,,2026-07-04,P00179,,SYNTHETIC,notified
2026-04-25,AC00180,2025-12-11,2025-10-27,P00180,2026-08-23,SYNTHETIC,possessed
2026-06-06,AC00181,2026-01-22,2025-12-08,P00181,,SYNTHETIC,compensation_pending
