parcel_id,record_date,record_id,record_type,source_type
P00107,2021-07-02,LR00107,jamabandi,SYNTHETIC
P00108,2024-02-22,LR00108,jamabandi,SYNTHETIC
P00109,2024-09-30,LR00109,jamabandi,SYNTHETIC
P00110,2024-11-09,LR00110,jamabandi,SYNTHETIC
P00111,2025-11-18,LR00111,jamabandi,SYNTHETIC
P00112,2025-05-25,LR00112,jamabandi,SYNTHETIC
P00113,2022-11-20,LR00113,jamabandi,SYNTHETIC
P00114,2022-04-10,LR00114,jamabandi,SYNTHETIC
P00115,2022-05-26,LR00115,jamabandi,SYNTHETIC
P00116,2025-01-06,LR00116,jamabandi,SYNTHETIC
P00117,2025-03-12,LR00117,jamabandi,SYNTHETIC
P00118,2021-12-09,LR00118,jamabandi,SYNTHETIC
P00119,2023-10-13,LR00119,jamabandi,SYNTHETIC
P00120,2021-12-11,LR00120,jamabandi,SYNTHETIC
P00121,2023-03-09,LR00121,jamabandi,SYNTHETIC
P00122,2026-03-31,LR00122,jamabandi,SYNTHETIC
P00123,2025-10-16,LR00123,jamabandi,SYNTHETIC
P00124,2023-10-02,LR00124,jamabandi,SYNTHETIC
P00125,2024-08-05,LR00125,jamabandi,SYNTHETIC
P00126,2021-12-10,LR00126,jamabandi,SYNTHETIC
P00127,2021-04-22,LR00127,jamabandi,SYNTHETIC
P00128,2022-05-17,LR00128,jamabandi,SYNTHETIC
P00129,2024-06-06,LR00129,jamabandi,SYNTHETIC
P00130,2024-11-17,LR00130,jamabandi,SYNTHETIC
P00131,2021-06-27,LR00131,jamabandi,SYNTHETIC
P00132,2021-04-03,LR00132,jamabandi,SYNTHETIC
P00133,2024-07-16,LR00133,jamabandi,SYNTHETIC
P00134,2024-02-05,LR00134,jamabandi,SYNTHETIC
P00135,2022-10-10,LR00135,jamabandi,SYNTHETIC
P00136,2023-09-30,LR00136,jamabandi,SYNTHETIC
P00137,2025-11-14,LR00137,jamabandi,SYNTHETIC
P00138,2022-04-14,LR00138,jamabandi,SYNTHETIC
P00139,2024-08-31,LR00139,jamabandi,SYNTHETIC
P00140,2024-11-22,LR00140,jamabandi,SYNTHETIC
P00141,2023-02-25,LR00141,jamabandi,SYNTHETIC
P00142,2022-07-23,LR00142,jamabandi,SYNTHETIC
P00143,2022-04-10,LR00143,jamabandi,SYNTHETIC
P00144,2024-11-26,LR00144,jamabandi,SYNTHETIC
P00145,2024-04-07,LR00145,jamabandi,SYNTHETIC
P00146,2025-03-29,LR00146,jamabandi,SYNTHETIC
P00147,2021-05-12,LR00147,jamabandi,SYNTHETIC
P00148,2024-05-23,LR00148,jamabandi,SYNTHETIC
P00149,2024-03-07,LR00149,jamabandi,SYNTHETIC
P00150,2023-03-04,LR00150,jamabandi,SYNTHETIC
P00151,2022-08-06,LR00151,jamabandi,SYNTHETIC
P00152,2023-04-09,LR00152,jamabandi,SYNTHETIC
P00153,2022-03-17,LR00153,jamabandi,SYNTHETIC
P00154,2023-02-14,LR00154,jamabandi,SYNTHETIC
P00155,2026-06-29,LR00155,jamabandi,SYNTHETIC
P00156,2024-10-10,LR00156,jamabandi,SYNTHETIC
P00157,2022-09-17,LR00157,jamabandi,SYNTHETIC
P00158,2022-04-10,LR00158,jamabandi,SYNTHETIC
P00159,2022-02-20,LR00159,jamabandi,SYNTHETIC
P00160,2022-02-01,LR00160,jamabandi,SYNTHETIC
P00161,2025-01-27,LR00161,jamabandi,SYNTHETIC
P00162,2023-08-15,LR00162,jamabandi,SYNTHETIC
P00163,2025-10-29,LR00163,jamabandi,SYNTHETIC
P00164,2022-12-23,LR00164,jamabandi,SYNTHETIC
P00165,2021-11-28,LR00165,jamabandi,SYNTHETIC
P00166,2024-09-19,LR00166,jamabandi,SYNTHETIC
P00167,2025-07-08,LR00167,jamabandi,SYNTHETIC
P00168,2024-09-15,LR00168,jamabandi,SYNTHETIC
P00169,2025-10-23,LR00169,jamabandi,SYNTHETIC
P00170,2022-09-18,LR00170,jamabandi,SYNTHETIC
P00171,2021-08-14,LR00171,jamabandi,SYNTHETIC
P00172,2025-09-27,LR00172,jamabandi,SYNTHETIC
P00173,2021-09-13,LR00173,jamabandi,SYNTHETIC
P00174,2024-10-04,LR00174,jamabandi,SYNTHETIC
P00175,2023-06-19,LR00175,jamabandi,SYNTHETIC
P00176,2025-05-17,LR00176,jamabandi,SYNTHETIC
P00177,2023-01-01,LR00177,jamabandi,SYNTHETIC
P00178,2022-12-07,LR00178,jamabandi,SYNTHETIC
P00179,2021-12-01,LR00179,jamabandi,SYNTHETIC
P00180,2025-04-23,LR00180,jamabandi,SYNTHETIC
P00181,2025-04-01,LR00181,jamabandi,SYNTHETIC
