document_id,officer_id,parcel_id,source_type,status,verification_id,verification_type
D00052,OF004,P00052,SYNTHETIC,verified,VF00052,ownership
D00053,OF005,P00053,SYNTHETIC,verified,VF00053,ownership
D00054,OF004,P00054,SYNTHETIC,verified,VF00054,ownership
D00055,OF002,P00055,SYNTHETIC,verified,VF00055,ownership
D00056,OF005,P00056,SYNTHETIC,verified,VF00056,ownership
D00057,OF005,P00057,SYNTHETIC,rejected,VF00057,ownership
D00058,OF003,P00058,SYNTHETIC,verified,VF00058,ownership
D00059,OF001,P00059,SYNTHETIC,verified,VF00059,ownership
D00060,OF005,P00060,SYNTHETIC,verified,VF00060,ownership
D00061,OF004,P00061,SYNTHETIC,verified,VF00061,ownership
D00062,OF003,P00062,SYNTHETIC,verified,VF00062,ownership
D00063,OF005,P00063,SYNTHETIC,verified,VF00063,ownership
D00064,OF002,P00064,SYNTHETIC,verified,VF00064,ownership
D00065,OF001,P00065,SYNTHETIC,verified,VF00065,ownership
D00066,OF006,P00066,SYNTHETIC,verified,VF00066,ownership
D00067,OF001,P00067,SYNTHETIC,verified,VF00067,ownership
D00068,OF006,P00068,SYNTHETIC,verified,VF00068,ownership
D00069,OF002,P00069,SYNTHETIC,verified,VF00069,ownership
D00070,OF001,P00070,SYNTHETIC,verified,VF00070,ownership
D00071,OF004,P00071,SYNTHETIC,verified,VF00071,ownership
D00072,OF001,P00072,SYNTHETIC,verified,VF00072,ownership
D00073,OF003,P00073,SYNTHETIC,verified,VF00073,ownership
D00074,OF002,P00074,SYNTHETIC,verified,VF00074,ownership
D00075,OF003,P00075,SYNTHETIC,verified,VF00075,ownership
D00076,OF006,P00076,SYNTHETIC,verified,VF00076,ownership
D00077,OF006,P00077,SYNTHETIC,verified,VF00077,ownership
D00078,OF006,P00078,SYNTHETIC,verified,VF00078,ownership
D00079,OF005,P00079,SYNTHETIC,verified,VF00079,ownership
D00080,OF004,P00080,SYNTHETIC,verified,VF00080,ownership
D00081,OF006,P00081,SYNTHETIC,verified,VF00081,ownership
D00082,OF006,P00082,SYNTHETIC,verified,VF00082,ownership
D00083,OF003,P00083,SYNTHETIC,verified,VF00083,ownership
D00084,OF001,P00084,SYNTHETIC,verified,VF00084,ownership
D00085,OF005,P00085,SYNTHETIC,verified,VF00085,ownership
D00086,OF005,P00086,SYNTHETIC,verified,VF00086,ownership
D00087,OF006,P00087,SYNTHETIC,verified,VF00087,ownership
D00088,OF005,P00088,SYNTHETIC,verified,VF00088,ownership
D00089,OF002,P00089,SYNTHETIC,verified,VF00089,ownership
D00090,OF001,P00090,SYNTHETIC,verified,VF00090,ownership
D00091,OF003,P00091,SYNTHETIC,verified,VF00091,ownership
D00092,OF001,P00092,SYNTHETIC,verified,VF00092,ownership
D00093,OF006,P00093,SYNTHETIC,verified,VF00093,ownership
D00094,OF006,P00094,SYNTHETIC,verified,VF00094,ownership
D00095,OF005,P00095,SYNTHETIC,verified,VF00095,ownership
D00096,OF001,P00096,SYNTHETIC,verified,VF00096,ownership
D00097,OF005,P00097,SYNTHETIC,verified,VF00097,ownership
D00098,OF003,P00098,SYNTHETIC,verified,VF00098,ownership
D00099,OF004,P00099,SYNTHETIC,verified,VF00099,ownership
D00100,OF001,P00100,SYNTHETIC,verified,VF00100,ownership
D00101,OF004,P00101,SYNTHETIC,verified,VF00101,ownership
D00102,OF002,P00102,SYNTHETIC,verified,VF00102,ownership
D00103,OF005,P00103,SYNTHETIC,verified,VF00103,ownership
D00104,OF003,P00104,SYNTHETIC,verified,VF00104,ownership
D00105,OF005,P00105,SYNTHETIC,verified,VF00105,ownership
D00106,OF005,P00106,SYNTHETIC,verified,VF00106,ownership
D00107,OF006,P00107,SYNTHETIC,verified,VF00107,ownership
D00108,OF006,P00108,SYNTHETIC,verified,VF00108,ownership
D00109,OF002,P00109,SYNTHETIC,verified,VF00109,ownership
D00110,OF002,P00110,SYNTHETIC,verified,VF00110,ownership
D00111,OF004,P00111,SYNTHETIC,verified,VF00111,ownership
D00112,OF005,P00112,SYNTHETIC,verified,VF00112,ownership
D00113,OF002,P00113,SYNTHETIC,rejected,VF00113,ownership
D00114,OF006,P00114,SYNTHETIC,verified,VF00114,ownership
D00115,OF003,P00115,SYNTHETIC,verified,VF00115,ownership
D00116,OF004,P00116,SYNTHETIC,verified,VF00116,ownership
D00117,OF001,P00117,SYNTHETIC,verified,VF00117,ownership
D00118,OF004,P00118,SYNTHETIC,verified,VF00118,ownership
D00119,OF006,P00119,SYNTHETIC,verified,VF00119,ownership
D00120,OF001,P00120,SYNTHETIC,verified,VF00120,ownership
D00121,OF002,P00121,SYNTHETIC,verified,VF00121,ownership
D00122,OF005,P00122,SYNTHETIC,verified,VF00122,ownership
D00123,OF005,P00123,SYNTHETIC,verified,VF00123,ownership
D00124,OF001,P00124,SYNTHETIC,verified,VF00124,ownership
D00125,OF002,P00125,SYNTHETIC,verified,VF00125,ownership
D00126,OF004,P00126,SYNTHETIC,verified,VF00126,ownership
D00127,OF005,P00127,SYNTHETIC,verified,VF00127,ownership
D00128,OF003,P00128,SYNTHETIC,verified,VF00128,ownership
D00129,OF005,P00129,SYNTHETIC,verified,VF00129,ownership
D00130,OF002,P00130,SYNTHETIC,verified,VF00130,ownership
D00131,OF006,P00131,SYNTHETIC,verified,VF00131,ownership
D00132,OF003,P00132,SYNTHETIC,verified,VF00132,ownership
D00133,OF004,P00133,SYNTHETIC,verified,VF00133,ownership
D00134,OF004,P00134,SYNTHETIC,verified,VF00134,ownership
D00135,OF006,P00135,SYNTHETIC,verified,VF00135,ownership
D00136,OF003,P00136,SYNTHETIC,verified,VF00136,ownership
D00137,OF003,P00137,SYNTHETIC,pending,VF00137,field
D00138,OF002,P00138,SYNTHETIC,rejected,VF00138,ownership
D00139,OF005,P00139,SYNTHETIC,verified,VF00139,ownership
D00140,OF002,P00140,SYNTHETIC,verified,VF00140,ownership
D00141,OF002,P00141,SYNTHETIC,verified,VF00141,ownership
D00142,OF001,P00142,SYNTHETIC,verified,VF00142,ownership
D00143,OF005,P00143,SYNTHETIC,verified,VF00143,ownership
D00144,OF004,P00144,SYNTHETIC,verified,VF00144,ownership
D00145,OF004,P00145,SYNTHETIC,verified,VF00145,ownership
D00146,OF004,P00146,SYNTHETIC,verified,VF00146,ownership
D00147,OF004,P00147,SYNTHETIC,verified,VF00147,ownership
D00148,OF006,P00148,SYNTHETIC,verified,VF00148,ownership
D00149,OF004,P00149,SYNTHETIC,verified,VF00149,ownership
D00150,OF005,P00150,SYNTHETIC,verified,VF00150,ownership
D00151,OF003,P00151,SYNTHETIC,verified,VF00151,ownership
D00152,OF006,P00152,SYNTHETIC,verified,VF00152,ownership
D00153,OF006,P00153,SYNTHETIC,verified,VF00153,ownership
D00154,OF006,P00154,SYNTHETIC,verified,VF00154,ownership
D00155,OF006,P00155,SYNTHETIC,verified,VF00155,ownership
D00156,OF003,P00156,SYNTHETIC,verified,VF00156,ownership
D00157,OF003,P00157,SYNTHETIC,verified,VF00157,ownership
D00158,OF006,P00158,SYNTHETIC,pending,VF00158,field
D00159,OF005,P00159,SYNTHETIC,verified,VF00159,ownership
D00160,OF002,P00160,SYNTHETIC,verified,VF00160,ownership
D00161,OF005,P00161,SYNTHETIC,rejected,VF00161,ownership
D00162,OF001,P00162,SYNTHETIC,verified,VF00162,ownership
D00163,OF004,P00163,SYNTHETIC,verified,VF00163,ownership
D00164,OF002,P00164,SYNTHETIC,verified,VF00164,ownership
D00165,OF006,P00165,SYNTHETIC,verified,VF00165,ownership
D00166,OF005,P00166,SYNTHETIC,verified,VF00166,ownership
D00167,OF006,P00167,SYNTHETIC,verified,VF00167,ownership
D00168,OF005,P00168,SYNTHETIC,verified,VF00168,ownership
D00169,OF003,P00169,SYNTHETIC,verified,VF00169,ownership
D00170,OF004,P00170,SYNTHETIC,verified,VF00170,ownership
D00171,OF001,P00171,SYNTHETIC,verified,VF00171,ownership
D00172,OF006,P00172,SYNTHETIC,verified,VF00172,ownership
D00173,OF005,P00173,SYNTHETIC,verified,VF00173,ownership
D00174,OF001,P00174,SYNTHETIC,verified,VF00174,ownership
D00175,OF003,P00175,SYNTHETIC,rejected,VF00175,ownership
D00176,OF004,P00176,SYNTHETIC,verified,VF00176,ownership
D00177,OF004,P00177,SYNTHETIC,verified,VF00177,ownership
D00178,OF002,P00178,SYNTHETIC,rejected,VF00178,ownership
D00179,OF004,P00179,SYNTHETIC,pending,VF00179,field
D00180,OF006,P00180,SYNTHETIC,verified,VF00180,ownership
D00181,OF002,P00181,SYNTHETIC,verified,VF00181,ownership
