case_id,document_id,document_status,document_type,parcel_id,source_type,upload_date
AC00066,D00066,verified,title_deed,P00066,SYNTHETIC,2024-09-15
AC00067,D00067,verified,mutation_certificate,P00067,SYNTHETIC,2024-05-26
AC00068,D00068,verified,notification,P00068,SYNTHETIC,2024-06-08
AC00069,D00069,verified,mutation_certificate,P00069,SYNTHETIC,2024-04-18
AC00070,D00070,verified,mutation_certificate,P00070,SYNTHETIC,2025-11-08
AC00071,D00071,verified,title_deed,P00071,SYNTHETIC,2026-04-28
AC00072,D00072,submitted,mutation_certificate,P00072,SYNTHETIC,2025-11-12
AC00073,D00073,submitted,mutation_certificate,P00073,SYNTHETIC,2024-05-09
AC00074,D00074,verified,mutation_certificate,P00074,SYNTHETIC,2026-02-22
AC00075,D00075,verified,notification,P00075,SYNTHETIC,2026-02-27
AC00076,D00076,verified,notification,P00076,SYNTHETIC,2025-09-13
AC00077,D00077,under_verification,notification,P00077,SYNTHETIC,2025-07-03
AC00078,D00078,verified,notification,P00078,SYNTHETIC,2024-10-26
AC00079,D00079,verified,notification,P00079,SYNTHETIC,2025-02-23
AC00080,D00080,submitted,mutation_certificate,P00080,SYNTHETIC,2025-05-09
AC00081,D00081,submitted,notification,P00081,SYNTHETIC,2025-11-13
AC00082,D00082,verified,mutation_certificate,P00082,SYNTHETIC,2025-10-03
AC00083,D00083,verified,notification,P00083,SYNTHETIC,2024-04-28
AC00084,D00084,submitted,notification,P00084,SYNTHETIC,2026-02-14
AC00085,D00085,verified,title_deed,P00085,SYNTHETIC,2025-10-14
AC00086,D00086,submitted,mutation_certificate,P00086,SYNTHETIC,2024-06-28
AC00087,D00087,verified,title_deed,P00087,SYNTHETIC,2025-05-02
AC00088,D00088,verified,mutation_certificate,P00088,SYNTHETIC,2026-05-06
AC00089,D00089,verified,title_deed,P00089,SYNTHETIC,2026-03-17
AC00090,D00090,under_verification,notification,P00090,SYNTHETIC,2025-08-26
AC00091,D00091,verified,title_deed,P00091,SYNTHETIC,2024-04-02
AC00092,D00092,submitted,title_deed,P00092,SYNTHETIC,2026-05-21
AC00093,D00093,submitted,mutation_certificate,P00093,SYNTHETIC,2024-05-18
AC00094,D00094,verified,title_deed,P00094,SYNTHETIC,2025-10-12
AC00095,D00095,verified,mutation_certificate,P00095,SYNTHETIC,2026-02-16
AC00096,D00096,verified,mutation_certificate,P00096,SYNTHETIC,2024-07-04
AC00097,D00097,verified,notification,P00097,SYNTHETIC,2025-04-16
AC00098,D00098,verified,notification,P00098,SYNTHETIC,2025-03-01
AC00099,D00099,verified,notification,P00099,SYNTHETIC,2026-07-05
AC00100,D00100,verified,title_deed,P00100,SYNTHETIC,2024-07-16
AC00101,D00101,submitted,notification,P00101,SYNTHETIC,2025-03-28
AC00102,D00102,under_verification,mutation_certificate,P00102,SYNTHETIC,2025-07-30
AC00103,D00103,verified,mutation_certificate,P00103,SYNTHETIC,2024-05-25
AC00104,D00104,submitted,mutation_certificate,P00104,SYNTHETIC,2025-08-16
AC00105,D00105,verified,title_deed,P00105,SYNTHETIC,2025-10-04
AC00106,D00106,verified,title_deed,P00106,SYNTHETIC,2025-09-22
AC00107,D00107,verified,title_deed,P00107,SYNTHETIC,2024-04-04
AC00108,D00108,verified,title_deed,P00108,SYNTHETIC,2025-04-19
AC00109,D00109,under_verification,mutation_certificate,P00109,SYNTHETIC,2026-04-07
AC00110,D00110,verified,title_deed,P00110,SYNTHETIC,2024-09-09
AC00111,D00111,verified,mutation_certificate,P00111,SYNTHETIC,2024-08-25
AC00112,D00112,verified,notification,P00112,SYNTHETIC,2025-07-28
AC00113,D00113,missing,mutation_certificate,P00113,SYNTHETIC,
AC00114,D00114,verified,title_deed,P00114,SYNTHETIC,2024-10-11
AC00115,D00115,verified,notification,P00115,SYNTHETIC,2024-05-01
AC00116,D00116,verified,mutation_certificate,P00116,SYNTHETIC,2024-05-07
AC00117,D00117,submitted,title_deed,P00117,SYNTHETIC,2026-05-20
AC00118,D00118,verified,notification,P00118,SYNTHETIC,2025-04-21
AC00119,D00119,under_verification,mutation_certificate,P00119,SYNTHETIC,2025-06-25
AC00120,D00120,verified,notification,P00120,SYNTHETIC,2025-03-16
AC00121,D00121,verified,title_deed,P00121,SYNTHETIC,2025-01-18
AC00122,D00122,submitted,title_deed,P00122,SYNTHETIC,2026-03-21
AC00123,D00123,verified,notification,P00123,SYNTHETIC,2025-09-17
AC00124,D00124,verified,title_deed,P00124,SYNTHETIC,2024-12-22
AC00125,D00125,verified,title_deed,P00125,SYNTHETIC,2024-04-26
AC00126,D00126,verified,mutation_certificate,P00126,SYNTHETIC,2024-05-06
AC00127,D00127,verified,title_deed,P00127,SYNTHETIC,2025-03-31
AC00128,D00128,verified,notification,P00128,SYNTHETIC,2024-09-18
AC00129,D00129,verified,notification,P00129,SYNTHETIC,2025-07-30
AC00130,D00130,verified,title_deed,P00130,SYNTHETIC,2025-04-12
AC00131,D00131,verified,mutation_certificate,P00131,SYNTHETIC,2025-07-16
AC00132,D00132,verified,title_deed,P00132,SYNTHETIC,2026-06-11
AC00133,D00133,verified,mutation_certificate,P00133,SYNTHETIC,2025-05-31
AC00134,D00134,verified,notification,P00134,SYNTHETIC,2025-12-05
AC00135,D00135,verified,notification,P00135,SYNTHETIC,2025-08-19
AC00136,D00136,submitted,notification,P00136,SYNTHETIC,2025-11-25
AC00137,D00137,submitted,notification,P00137,SYNTHETIC,2024-10-24
AC00138,D00138,missing,notification,P00138,SYNTHETIC,
AC00139,D00139,under_verification,title_deed,P00139,SYNTHETIC,2026-03-03
AC00140,D00140,submitted,title_deed,P00140,SYNTHETIC,2026-01-25
AC00141,D00141,verified,mutation_certificate,P00141,SYNTHETIC,2025-01-12
AC00142,D00142,verified,mutation_certificate,P00142,SYNTHETIC,2024-10-31
AC00143,D00143,verified,notification,P00143,SYNTHETIC,2024-11-29
AC00144,D00144,verified,mutation_certificate,P00144,SYNTHETIC,2025-03-05
AC00145,D00145,verified,title_deed,P00145,SYNTHETIC,2025-03-04
AC00146,D00146,under_verification,mutation_certificate,P00146,SYNTHETIC,2025-03-22
AC00147,D00147,verified,mutation_certificate,P00147,SYNTHETIC,2024-11-28
AC00148,D00148,verified,mutation_certificate,P00148,SYNTHETIC,2025-02-10
AC00149,D00149,verified,mutation_certificate,P00149,SYNTHETIC,2026-02-25
AC00150,D00150,submitted,notification,P00150,SYNTHETIC,2026-03-13
AC00151,D00151,verified,mutation_certificate,P00151,SYNTHETIC,2025-08-05
AC00152,D00152,verified,mutation_certificate,P00152,SYNTHETIC,2025-08-02
AC00153,D00153,verified,notification,P00153,SYNTHETIC,2024-05-09
AC00154,D00154,submitted,notification,P00154,SYNTHETIC,2024-05-10
AC00155,D00155,submitted,title_deed,P00155,SYNTHETIC,2025-04-17
AC00156,D00156,verified,mutation_certificate,P00156,SYNTHETIC,2024-09-02
AC00157,D00157,verified,notification,P00157,SYNTHETIC,2025-10-15
AC00158,D00158,submitted,mutation_certificate,P00158,SYNTHETIC,2025-09-20
AC00159,D00159,verified,notification,P00159,SYNTHETIC,2024-07-04
AC00160,D00160,verified,title_deed,P00160,SYNTHETIC,2026-02-13
AC00161,D00161,missing,notification,P00161,SYNTHETIC,
AC00162,D00162,verified,notification,P00162,SYNTHETIC,2025-11-23
AC00163,D00163,submitted,title_deed,P00163,SYNTHETIC,2026-07-07
AC00164,D00164,submitted,notification,P00164,SYNTHETIC,2026-05-13
AC00165,D00165,submitted,notification,P00165,SYNTHETIC,2025-06-01
AC00166,D00166,verified,mutation_certificate,P00166,SYNTHETIC,2025-09-24
AC00167,D00167,verified,notification,P00167,SYNTHETIC,2024-04-05
AC00168,D00168,verified,title_deed,P00168,SYNTHETIC,2024-04-24
AC00169,D00169,submitted,title_deed,P00169,SYNTHETIC,2025-03-11
AC00170,D00170,verified,notification,P00170,SYNTHETIC,2025-11-13
AC00171,D00171,submitted,mutation_certificate,P00171,SYNTHETIC,2024-07-22
AC00172,D00172,verified,mutation_certificate,P00172,SYNTHETIC,2025-04-03
AC00173,D00173,verified,notification,P00173,SYNTHETIC,2024-04-27
AC00174,D00174,submitted,title_deed,P00174,SYNTHETIC,2025-01-26
AC00175,D00175,missing,mutation_certificate,P00175,SYNTHETIC,
AC00176,D00176,verified,notification,P00176,SYNTHETIC,2024-11-27
AC00177,D00177,submitted,title_deed,P00177,SYNTHETIC,2024-06-26
AC00178,D00178,missing,notification,P00178,SYNTHETIC,
AC00179,D00179,submitted,title_deed,P00179,SYNTHETIC,2026-07-09
AC00180,D00180,submitted,notification,P00180,SYNTHETIC,2025-11-01
AC00181,D00181,verified,notification,P00181,SYNTHETIC,2025-12-13
