acquisition_status,area_sqm,conflict_type,criticality_score,is_hidden_critical,land_use,owner_id,ownership_conflict,parcel_id,project_id,risk_score,scenario_tag,source_type,survey_number,village_id
notified,3544.4,boundary_dispute,,False,agricultural,O00045,True,P00039,P-NH927A,,ownership_mismatch,SYNTHETIC,V01-KH-0039,V01
notified,3081.0,duplicate_claim,,False,agricultural,O00036,True,P00040,P-NH927A,,duplicate_ownership,SYNTHETIC,V02-KH-0040,V02
notified,1736.7,duplicate_claim,,False,agricultural,O00015,True,P00041,P-NH927A,,duplicate_ownership,SYNTHETIC,V03-KH-0041,V03
notified,2291.5,boundary_dispute,,False,agricultural,O00048,True,P00042,P-NH927A,,ownership_mismatch,SYNTHETIC,V01-KH-0042,V01
award_declared,654.3,none,,False,agricultural,O00021,False,P00043,P-NH927A,,compensation_pending,SYNTHETIC,V02-KH-0043,V02
possessed,937.6,none,,False,agricultural,O00054,False,P00044,P-NH927A,,clean,SYNTHETIC,V03-KH-0044,V03
possessed,3060.6,none,,False,agricultural,O00056,False,P00045,P-NH927A,,clean,SYNTHETIC,V01-KH-0045,V01
award_declared,2068.6,none,,False,agricultural,O00026,False,P00046,P-NH927A,,compensation_pending,SYNTHETIC,V02-KH-0046,V02
notified,3204.8,none,,False,agricultural,O00039,False,P00047,P-NH927A,,missing_documents,SYNTHETIC,V03-KH-0047,V03
notified,1360.4,none,,False,agricultural,O00028,False,P00048,P-NH927A,,missing_documents,SYNTHETIC,V01-KH-0048,V01
possessed,1205.7,none,,False,agricultural,O00014,False,P00049,P-NH927A,,clean,SYNTHETIC,V02-KH-0049,V02
award_declared,2871.4,none,,False,agricultural,O00019,False,P00050,P-NH927A,,compensation_pending,SYNTHETIC,V03-KH-0050,V03
possessed,766.2,none,,False,agricultural,O00042,False,P00051,P-NH927A,,clean,SYNTHETIC,V01-KH-0051,V01
notified,2859.0,boundary_dispute,,False,barren,O00020,True,P00052,P-NH927A,,ownership_mismatch,SYNTHETIC,V02-KH-0052,V02
possessed,1424.8,none,,False,agricultural,O00048,False,P00053,P-NH927A,,clean,SYNTHETIC,V03-KH-0053,V03
notified,3099.8,boundary_dispute,,False,agricultural,O00003,True,P00054,P-NH927A,,ownership_mismatch,SYNTHETIC,V01-KH-0054,V01
notified,3294.1,boundary_dispute,,False,commercial,O00041,True,P00055,P-NH927A,,ownership_mismatch,SYNTHETIC,V02-KH-0055,V02
possessed,1764.3,none,,True,agricultural,O00022,False,P00056,P-NH927A,,clean,SYNTHETIC,V03-KH-0056,V03
notified,3954.9,none,,False,agricultural,O00053,False,P00057,P-NH927A,,missing_documents,SYNTHETIC,V01-KH-0057,V01
notified,2566.0,boundary_dispute,,False,agricultural,O00024,True,P00058,P-NH927A,,ownership_mismatch,SYNTHETIC,V02-KH-0058,V02
possessed,3547.2,none,,False,agricultural,O00029,False,P00059,P-NH927A,,clean,SYNTHETIC,V03-KH-0059,V03
possessed,3798.8,none,,False,agricultural,O00030,False,P00060,P-NH927A,,clean,SYNTHETIC,V01-KH-0060,V01
notified,1657.6,boundary_dispute,,False,barren,O00010,True,P00061,P-NH927A,,ownership_mismatch,SYNTHETIC,V02-KH-0061,V02
notified,3750.1,none,,False,agricultural,O00022,False,P00062,P-NH927A,,legal_dispute,SYNTHETIC,V03-KH-0062,V03
notified,3098.9,none,,False,agricultural,O00036,False,P00063,P-NH927A,,approval_bottleneck,SYNTHETIC,V01-KH-0063,V01
award_declared,3147.1,none,,False,agricultural,O00055,False,P00064,P-NH927A,,compensation_pending,SYNTHETIC,V02-KH-0064,V02
possessed,3868.3,none,,False,agricultural,O00033,False,P00065,P-NH927A,,clean,SYNTHETIC,V03-KH-0065,V03
notified,3169.8,duplicate_claim,,False,agricultural,O00031,True,P00066,P-NH927A,,duplicate_ownership,SYNTHETIC,V01-KH-0066,V01
notified,2227.8,duplicate_claim,,False,commercial,O00055,True,P00067,P-NH927A,,duplicate_ownership,SYNTHETIC,V02-KH-0067,V02
notified,460.0,none,,False,agricultural,O00040,False,P00068,P-NH927A,,approval_bottleneck,SYNTHETIC,V03-KH-0068,V03
possessed,832.2,none,,False,agricultural,O00029,False,P00069,P-NH927A,,clean,SYNTHETIC,V01-KH-0069,V01
possessed,865.3,none,,False,agricultural,O00011,False,P00070,P-NH927A,,clean,SYNTHETIC,V02-KH-0070,V02
award_declared,3257.6,none,,False,barren,O00058,False,P00071,P-NH927A,,compensation_pending,SYNTHETIC,V03-KH-0071,V03
compensated,1348.1,none,,False,commercial,O00055,False,P00072,P-NH927A,,rr_pending,SYNTHETIC,V01-KH-0072,V01
notified,2504.3,none,,False,agricultural,O00059,False,P00073,P-NH927A,,approval_bottleneck,SYNTHETIC,V02-KH-0073,V02
award_declared,1152.4,none,,False,residential,O00040,False,P00074,P-NH927A,,compensation_pending,SYNTHETIC,V03-KH-0074,V03
possessed,3656.6,none,,False,agricultural,O00006,False,P00075,P-NH927A,,clean,SYNTHETIC,V01-KH-0075,V01
possessed,3333.8,none,,True,agricultural,O00059,False,P00076,P-NH927A,,clean,SYNTHETIC,V02-KH-0076,V02
compensated,2762.7,none,,False,agricultural,O00047,False,P00077,P-NH927A,,rr_pending,SYNTHETIC,V03-KH-0077,V03
notified,1991.6,none,,False,agricultural,O00015,False,P00078,P-NH927A,,approval_bottleneck,SYNTHETIC,V01-KH-0078,V01
notified,1751.5,none,,False,agricultural,O00042,False,P00079,P-NH927A,,approval_bottleneck,SYNTHETIC,V02-KH-0079,V02
award_declared,1609.8,none,,False,barren,O00030,False,P00080,P-NH927A,,compensation_pending,SYNTHETIC,V03-KH-0080,V03
notified,324.3,boundary_dispute,,False,agricultural,O00018,True,P00081,P-NH927A,,ownership_mismatch,SYNTHETIC,V01-KH-0081,V01
possessed,2269.0,none,,False,commercial,O00024,False,P00082,P-NH927A,,clean,SYNTHETIC,V02-KH-0082,V02
possessed,3890.2,none,,False,agricultural,O00039,False,P00083,P-NH927A,,clean,SYNTHETIC,V03-KH-0083,V03
possessed,760.7,none,,False,barren,O00050,False,P00084,P-NH927A,,clean,SYNTHETIC,V01-KH-0084,V01
possessed,3201.9,none,,False,agricultural,O00023,False,P00085,P-NH927A,,clean,SYNTHETIC,V02-KH-0085,V02
notified,614.4,none,,False,agricultural,O00038,False,P00086,P-NH927A,,approval_bottleneck,SYNTHETIC,V03-KH-0086,V03
notified,3863.3,boundary_dispute,,False,agricultural,O00042,True,P00087,P-NH927A,,ownership_mismatch,SYNTHETIC,V01-KH-0087,V01
possessed,1885.5,none,,False,barren,O00059,False,P00088,P-NH927A,,clean,SYNTHETIC,V02-KH-0088,V02
possessed,1924.1,none,,False,agricultural,O00019,False,P00089,P-NH927A,,clean,SYNTHETIC,V03-KH-0089,V03
possessed,1487.9,none,,False,agricultural,O00027,False,P00090,P-NH927A,,clean,SYNTHETIC,V01-KH-0090,V01
award_declared,524.4,none,,False,agricultural,O00054,False,P00091,P-NH927A,,compensation_pending,SYNTHETIC,V02-KH-0091,V02
compensated,2728.3,none,,False,residential,O00056,False,P00092,P-NH927A,,rr_pending,SYNTHETIC,V03-KH-0092,V03
notified,1258.6,boundary_dispute,,False,agricultural,O00049,True,P00093,P-NH927A,,ownership_mismatch,SYNTHETIC,V01-KH-0093,V01
notified,2315.6,duplicate_claim,,False,agricultural,O00042,True,P00094,P-NH927A,,duplicate_ownership,SYNTHETIC,V02-KH-0094,V02
possessed,1374.1,none,,False,agricultural,O00049,False,P00095,P-NH927A,,clean,SYNTHETIC,V03-KH-0095,V03
possessed,1629.5,none,,False,agricultural,O00014,False,P00096,P-NH927A,,clean,SYNTHETIC,V01-KH-0096,V01
notified,510.0,boundary_dispute,,False,agricultural,O00044,True,P00097,P-NH927A,,ownership_mismatch,SYNTHETIC,V02-KH-0097,V02
award_declared,1511.7,none,,False,agricultural,O00008,False,P00098,P-NH927A,,compensation_pending,SYNTHETIC,V03-KH-0098,V03
possessed,3115.9,none,,False,residential,O00014,False,P00099,P-NH927A,,clean,SYNTHETIC,V01-KH-0099,V01
notified,495.9,boundary_dispute,,False,agricultural,O00059,True,P00100,P-NH927A,,ownership_mismatch,SYNTHETIC,V02-KH-0100,V02
notified,279.3,none,,False,agricultural,O00026,False,P00101,P-NH927A,,legal_dispute,SYNTHETIC,V03-KH-0101,V03
compensated,1721.7,none,,False,agricultural,O00038,False,P00102,P-NH927A,,rr_pending,SYNTHETIC,V01-KH-0102,V01
possessed,590.7,none,,False,agricultural,O00016,False,P00103,P-NH927A,,clean,SYNTHETIC,V02-KH-0103,V02
notified,2788.3,duplicate_claim,,False,barren,O00029,True,P00104,P-NH927A,,duplicate_ownership,SYNTHETIC,V03-KH-0104,V03
notified,1871.1,duplicate_claim,,False,agricultural,O00010,True,P00105,P-NH927A,,duplicate_ownership,SYNTHETIC,V01-KH-0105,V01
possessed,1379.5,none,,False,agricultural,O00005,False,P00106,P-NH927A,,clean,SYNTHETIC,V02-KH-0106,V02
possessed,3826.1,none,,False,residential,O00036,False,P00107,P-NH927A,,clean,SYNTHETIC,V03-KH-0107,V03
possessed,2117.3,none,,False,agricultural,O00006,False,P00108,P-NH927A,,clean,SYNTHETIC,V01-KH-0108,V01
possessed,399.0,none,,False,agricultural,O00039,False,P00109,P-NH927A,,clean,SYNTHETIC,V02-KH-0109,V02
notified,509.7,none,,False,agricultural,O00022,False,P00110,P-NH927A,,approval_bottleneck,SYNTHETIC,V03-KH-0110,V03
possessed,2323.9,none,,False,agricultural,O00020,False,P00111,P-NH927A,,clean,SYNTHETIC,V01-KH-0111,V01
possessed,1574.9,none,,False,agricultural,O00033,False,P00112,P-NH927A,,clean,SYNTHETIC,V02-KH-0112,V02
notified,2251.1,none,,False,residential,O00050,False,P00113,P-NH927A,,missing_documents,SYNTHETIC,V03-KH-0113,V03
notified,1631.5,none,,False,agricultural,O00039,False,P00114,P-NH927A,,legal_dispute,SYNTHETIC,V01-KH-0114,V01
possessed,1102.6,none,,False,agricultural,O00047,False,P00115,P-NH927A,,clean,SYNTHETIC,V02-KH-0115,V02
notified,3799.1,boundary_dispute,,False,commercial,O00044,True,P00116,P-NH927A,,ownership_mismatch,SYNTHETIC,V03-KH-0116,V03
possessed,3304.2,none,,False,residential,O00011,False,P00117,P-NH927A,,clean,SYNTHETIC,V01-KH-0117,V01
notified,809.2,boundary_dispute,,False,agricultural,O00049,True,P00118,P-NH927A,,ownership_mismatch,SYNTHETIC,V02-KH-0118,V02
possessed,1528.4,none,,False,agricultural,O00057,False,P00119,P-NH927A,,clean,SYNTHETIC,V03-KH-0119,V03
possessed,3207.2,none,,False,agricultural,O00022,False,P00120,P-NH927A,,clean,SYNTHETIC,V01-KH-0120,V01
notified,1019.5,none,,False,agricultural,O00017,False,P00121,P-NH927A,,approval_bottleneck,SYNTHETIC,V02-KH-0121,V02
notified,1106.1,duplicate_claim,,False,agricultural,O00004,True,P00122,P-NH927A,,duplicate_ownership,SYNTHETIC,V03-KH-0122,V03
possessed,262.5,none,,False,agricultural,O00035,False,P00123,P-NH927A,,clean,SYNTHETIC,V01-KH-0123,V01
notified,457.2,boundary_dispute,,False,agricultural,O00024,True,P00124,P-NH927A,,ownership_mismatch,SYNTHETIC,V02-KH-0124,V02
award_declared,1670.1,none,,False,agricultural,O00041,False,P00125,P-NH927A,,compensation_pending,SYNTHETIC,V03-KH-0125,V03
notified,1538.7,duplicate_claim,,False,agricultural,O00003,True,P00126,P-NH927A,,duplicate_ownership,SYNTHETIC,V01-KH-0126,V01
award_declared,892.7,none,,False,agricultural,O00041,False,P00127,P-NH927A,,compensation_pending,SYNTHETIC,V02-KH-0127,V02
possessed,3958.7,none,,False,agricultural,O00026,False,P00128,P-NH927A,,clean,SYNTHETIC,V03-KH-0128,V03
compensated,3580.0,none,,False,residential,O00028,False,P00129,P-NH927A,,rr_pending,SYNTHETIC,V01-KH-0129,V01
notified,1420.6,duplicate_claim,,False,agricultural,O00019,True,P00130,P-NH927A,,duplicate_ownership,SYNTHETIC,V02-KH-0130,V02
award_declared,1886.9,none,,False,agricultural,O00045,False,P00131,P-NH927A,,compensation_pending,SYNTHETIC,V03-KH-0131,V03
award_declared,1580.6,none,,False,residential,O00026,False,P00132,P-NH927A,,compensation_pending,SYNTHETIC,V01-KH-0132,V01
possessed,1887.0,none,,False,agricultural,O00024,False,P00133,P-NH927A,,clean,SYNTHETIC,V02-KH-0133,V02
possessed,2334.4,none,,False,agricultural,O00059,False,P00134,P-NH927A,,clean,SYNTHETIC,V03-KH-0134,V03
possessed,3615.0,none,,False,agricultural,O00012,False,P00135,P-NH927A,,clean,SYNTHETIC,V01-KH-0135,V01
notified,3723.8,none,,False,agricultural,O00046,False,P00136,P-NH927A,,legal_dispute,SYNTHETIC,V02-KH-0136,V02
notified,2374.7,none,,False,agricultural,O00036,False,P00137,P-NH927A,,field_verification_pending,SYNTHETIC,V03-KH-0137,V03
notified,3998.5,none,,False,residential,O00026,False,P00138,P-NH927A,,missing_documents,SYNTHETIC,V01-KH-0138,V01
award_declared,2640.9,none,,False,agricultural,O00021,False,P00139,P-NH927A,,compensation_pending,SYNTHETIC,V02-KH-0139,V02
notified,3499.2,boundary_dispute,,False,residential,O00059,True,P00140,P-NH927A,,ownership_mismatch,SYNTHETIC,V03-KH-0140,V03
notified,3834.1,duplicate_claim,,False,agricultural,O00041,True,P00141,P-NH927A,,duplicate_ownership,SYNTHETIC,V01-KH-0141,V01
notified,3778.1,duplicate_claim,,False,agricultural,O00038,True,P00142,P-NH927A,,duplicate_ownership,SYNTHETIC,V02-KH-0142,V02
notified,3482.4,none,,False,agricultural,O00053,False,P00143,P-NH927A,,approval_bottleneck,SYNTHETIC,V03-KH-0143,V03
notified,3578.2,duplicate_claim,,False,agricultural,O00032,True,P00144,P-NH927A,,duplicate_ownership,SYNTHETIC,V01-KH-0144,V01
possessed,1923.5,none,,False,agricultural,O00020,False,P00145,P-NH927A,,clean,SYNTHETIC,V02-KH-0145,V02
possessed,3090.5,none,,False,agricultural,O00009,False,P00146,P-NH927A,,clean,SYNTHETIC,V03-KH-0146,V03
notified,3858.2,none,,False,barren,O00016,False,P00147,P-NH927A,,legal_dispute,SYNTHETIC,V01-KH-0147,V01
possessed,3540.5,none,,False,agricultural,O00032,False,P00148,P-NH927A,,clean,SYNTHETIC,V02-KH-0148,V02
compensated,1988.2,none,,False,agricultural,O00044,False,P00149,P-NH927A,,rr_pending,SYNTHETIC,V03-KH-0149,V03
notified,2289.5,duplicate_claim,,False,residential,O00049,True,P00150,P-NH927A,,duplicate_ownership,SYNTHETIC,V01-KH-0150,V01
possessed,1725.3,none,,False,agricultural,O00033,False,P00151,P-NH927A,,clean,SYNTHETIC,V02-KH-0151,V02
compensated,1693.2,none,,False,agricultural,O00011,False,P00152,P-NH927A,,rr_pending,SYNTHETIC,V03-KH-0152,V03
notified,301.3,none,,False,agricultural,O00041,False,P00153,P-NH927A,,inaccessible_parcel,SYNTHETIC,V01-KH-0153,V01
notified,2417.4,duplicate_claim,,False,agricultural,O00004,True,P00154,P-NH927A,,duplicate_ownership,SYNTHETIC,V02-KH-0154,V02
possessed,320.0,none,,False,barren,O00016,False,P00155,P-NH927A,,clean,SYNTHETIC,V03-KH-0155,V03
possessed,436.7,none,,False,agricultural,O00047,False,P00156,P-NH927A,,clean,SYNTHETIC,V01-KH-0156,V01
notified,3133.6,duplicate_claim,,False,residential,O00044,True,P00157,P-NH927A,,duplicate_ownership,SYNTHETIC,V02-KH-0157,V02
notified,1334.3,none,,False,barren,O00036,False,P00158,P-NH927A,,field_verification_pending,SYNTHETIC,V03-KH-0158,V03
notified,1404.8,none,,False,agricultural,O00032,False,P00159,P-NH927A,,approval_bottleneck,SYNTHETIC,V01-KH-0159,V01
notified,3924.6,none,,False,residential,O00058,False,P00160,P-NH927A,,inaccessible_parcel,SYNTHETIC,V02-KH-0160,V02
notified,3346.2,none,,False,agricultural,O00013,False,P00161,P-NH927A,,missing_documents,SYNTHETIC,V03-KH-0161,V03
notified,2430.0,duplicate_claim,,False,agricultural,O00048,True,P00162,P-NH927A,,duplicate_ownership,SYNTHETIC,V01-KH-0162,V01
award_declared,1455.1,none,,False,agricultural,O00027,False,P00163,P-NH927A,,compensation_pending,SYNTHETIC,V02-KH-0163,V02
possessed,957.9,none,,False,commercial,O00042,False,P00164,P-NH927A,,clean,SYNTHETIC,V03-KH-0164,V03
notified,3552.5,none,,False,agricultural,O00027,False,P00165,P-NH927A,,approval_bottleneck,SYNTHETIC,V01-KH-0165,V01
notified,1333.9,none,,False,agricultural,O00001,False,P00166,P-NH927A,,approval_bottleneck,SYNTHETIC,V02-KH-0166,V02
notified,3766.5,boundary_dispute,,False,barren,O00057,True,P00167,P-NH927A,,ownership_mismatch,SYNTHETIC,V03-KH-0167,V03
possessed,2663.5,none,,False,residential,O00030,False,P00168,P-NH927A,,clean,SYNTHETIC,V01-KH-0168,V01
possessed,529.6,none,,False,agricultural,O00021,False,P00169,P-NH927A,,clean,SYNTHETIC,V02-KH-0169,V02
notified,2947.0,duplicate_claim,,False,agricultural,O00038,True,P00170,P-NH927A,,duplicate_ownership,SYNTHETIC,V03-KH-0170,V03
notified,806.9,none,,False,agricultural,O00020,False,P00171,P-NH927A,,approval_bottleneck,SYNTHETIC,V01-KH-0171,V01
possessed,2535.6,none,,False,agricultural,O00024,False,P00172,P-NH927A,,clean,SYNTHETIC,V02-KH-0172,V02
award_declared,1030.0,none,,False,agricultural,O00053,False,P00173,P-NH927A,,compensation_pending,SYNTHETIC,V03-KH-0173,V03
possessed,2120.9,none,,False,agricultural,O00058,False,P00174,P-NH927A,,clean,SYNTHETIC,V01-KH-0174,V01
notified,701.4,none,,False,agricultural,O00030,False,P00175,P-NH927A,,missing_documents,SYNTHETIC,V02-KH-0175,V02
possessed,282.7,none,,False,agricultural,O00047,False,P00176,P-NH927A,,clean,SYNTHETIC,V03-KH-0176,V03
possessed,1290.9,none,,False,agricultural,O00003,False,P00177,P-NH927A,,clean,SYNTHETIC,V01-KH-0177,V01
notified,2794.4,none,,False,agricultural,O00006,False,P00178,P-NH927A,,missing_documents,SYNTHETIC,V02-KH-0178,V02
notified,1693.6,none,,False,agricultural,O00035,False,P00179,P-NH927A,,field_verification_pending,SYNTHETIC,V03-KH-0179,V03
possessed,2932.6,none,,False,agricultural,O00044,False,P00180,P-NH927A,,clean,SYNTHETIC,V01-KH-0180,V01
compensated,2536.7,none,,False,barren,O00027,False,P00181,P-NH927A,,rr_pending,SYNTHETIC,V02-KH-0181,V02
