edge_type,from_node_id,from_node_type,is_blocking,source_type,to_node_id,to_node_type,weight_days
required_for,P00018,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00019,parcel,False,SYNTHETIC,AC00019,acquisition_case,
required_for,P00019,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00020,parcel,False,SYNTHETIC,AC00020,acquisition_case,
required_for,P00020,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00021,parcel,False,SYNTHETIC,AC00021,acquisition_case,
required_for,P00021,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00022,parcel,False,SYNTHETIC,AC00022,acquisition_case,
blocked_by,VF00022,verification,True,SYNTHETIC,D00022,document,30
required_for,P00022,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00023,parcel,False,SYNTHETIC,AC00023,acquisition_case,
blocks,LC00023,legal_case,True,SYNTHETIC,AC00023,acquisition_case,400
required_for,P00023,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00024,parcel,False,SYNTHETIC,AC00024,acquisition_case,
required_for,P00024,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00025,parcel,False,SYNTHETIC,AC00025,acquisition_case,
required_for,P00025,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00026,parcel,False,SYNTHETIC,AC00026,acquisition_case,
required_for,P00026,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00027,parcel,False,SYNTHETIC,AC00027,acquisition_case,
blocked_by,VF00027,verification,True,SYNTHETIC,D00027,document,30
required_for,P00027,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00028,parcel,False,SYNTHETIC,AC00028,acquisition_case,
required_for,P00028,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00029,parcel,False,SYNTHETIC,AC00029,acquisition_case,
blocked_by,VF00029,verification,True,SYNTHETIC,D00029,document,30
required_for,P00029,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00030,parcel,False,SYNTHETIC,AC00030,acquisition_case,
required_for,P00030,parcel,False,SYNTHETIC,S03,project_segment,60
has,P00031,parcel,False,SYNTHETIC,AC00031,acquisition_case,
blocked_by,VF00031,verification,True,SYNTHETIC,D00031,document,30
required_for,P00031,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00032,parcel,False,SYNTHETIC,AC00032,acquisition_case,
requires,AC00032,acquisition_case,True,SYNTHETIC,CR00032,compensation_record,60
required_for,P00032,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00033,parcel,False,SYNTHETIC,AC00033,acquisition_case,
required_for,P00033,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00034,parcel,False,SYNTHETIC,AC00034,acquisition_case,
requires,AC00034,acquisition_case,True,SYNTHETIC,CR00034,compensation_record,60
required_for,P00034,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00035,parcel,False,SYNTHETIC,AC00035,acquisition_case,
required_for,P00035,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00036,parcel,False,SYNTHETIC,AC00036,acquisition_case,
required_for,P00036,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00037,parcel,False,SYNTHETIC,AC00037,acquisition_case,
required_for,P00037,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00038,parcel,False,SYNTHETIC,AC00038,acquisition_case,
required_for,P00038,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00039,parcel,False,SYNTHETIC,AC00039,acquisition_case,
required_for,P00039,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00040,parcel,False,SYNTHETIC,AC00040,acquisition_case,
required_for,P00040,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00041,parcel,False,SYNTHETIC,AC00041,acquisition_case,
required_for,P00041,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00042,parcel,False,SYNTHETIC,AC00042,acquisition_case,
required_for,P00042,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00043,parcel,False,SYNTHETIC,AC00043,acquisition_case,
requires,AC00043,acquisition_case,True,SYNTHETIC,CR00043,compensation_record,60
required_for,P00043,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00044,parcel,False,SYNTHETIC,AC00044,acquisition_case,
required_for,P00044,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00045,parcel,False,SYNTHETIC,AC00045,acquisition_case,
required_for,P00045,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00046,parcel,False,SYNTHETIC,AC00046,acquisition_case,
requires,AC00046,acquisition_case,True,SYNTHETIC,CR00046,compensation_record,60
required_for,P00046,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00047,parcel,False,SYNTHETIC,AC00047,acquisition_case,
blocked_by,VF00047,verification,True,SYNTHETIC,D00047,document,30
required_for,P00047,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00048,parcel,False,SYNTHETIC,AC00048,acquisition_case,
blocked_by,VF00048,verification,True,SYNTHETIC,D00048,document,30
required_for,P00048,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00049,parcel,False,SYNTHETIC,AC00049,acquisition_case,
required_for,P00049,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00050,parcel,False,SYNTHETIC,AC00050,acquisition_case,
requires,AC00050,acquisition_case,True,SYNTHETIC,CR00050,compensation_record,60
required_for,P00050,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00051,parcel,False,SYNTHETIC,AC00051,acquisition_case,
required_for,P00051,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00052,parcel,False,SYNTHETIC,AC00052,acquisition_case,
required_for,P00052,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00053,parcel,False,SYNTHETIC,AC00053,acquisition_case,
required_for,P00053,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00054,parcel,False,SYNTHETIC,AC00054,acquisition_case,
required_for,P00054,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00055,parcel,False,SYNTHETIC,AC00055,acquisition_case,
required_for,P00055,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00056,parcel,False,SYNTHETIC,AC00056,acquisition_case,
required_for,P00056,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00057,parcel,False,SYNTHETIC,AC00057,acquisition_case,
blocked_by,VF00057,verification,True,SYNTHETIC,D00057,document,30
required_for,P00057,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00058,parcel,False,SYNTHETIC,AC00058,acquisition_case,
required_for,P00058,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00059,parcel,False,SYNTHETIC,AC00059,acquisition_case,
required_for,P00059,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00060,parcel,False,SYNTHETIC,AC00060,acquisition_case,
required_for,P00060,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00061,parcel,False,SYNTHETIC,AC00061,acquisition_case,
required_for,P00061,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00062,parcel,False,SYNTHETIC,AC00062,acquisition_case,
blocks,LC00062,legal_case,True,SYNTHETIC,AC00062,acquisition_case,400
required_for,P00062,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00063,parcel,False,SYNTHETIC,AC00063,acquisition_case,
required_for,P00063,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00064,parcel,False,SYNTHETIC,AC00064,acquisition_case,
requires,AC00064,acquisition_case,True,SYNTHETIC,CR00064,compensation_record,60
required_for,P00064,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00065,parcel,False,SYNTHETIC,AC00065,acquisition_case,
required_for,P00065,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00066,parcel,False,SYNTHETIC,AC00066,acquisition_case,
required_for,P00066,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00067,parcel,False,SYNTHETIC,AC00067,acquisition_case,
required_for,P00067,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00068,parcel,False,SYNTHETIC,AC00068,acquisition_case,
required_for,P00068,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00069,parcel,False,SYNTHETIC,AC00069,acquisition_case,
required_for,P00069,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00070,parcel,False,SYNTHETIC,AC00070,acquisition_case,
required_for,P00070,parcel,False,SYNTHETIC,S03,project_segment,60
has,P00071,parcel,False,SYNTHETIC,AC00071,acquisition_case,
requires,AC00071,acquisition_case,True,SYNTHETIC,CR00071,compensation_record,60
required_for,P00071,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00072,parcel,False,SYNTHETIC,AC00072,acquisition_case,
requires,AC00072,acquisition_case,True,SYNTHETIC,RR00072,rr_record,90
required_for,P00072,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00073,parcel,False,SYNTHETIC,AC00073,acquisition_case,
required_for,P00073,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00074,parcel,False,SYNTHETIC,AC00074,acquisition_case,
requires,AC00074,acquisition_case,True,SYNTHETIC,CR00074,compensation_record,60
required_for,P00074,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00075,parcel,False,SYNTHETIC,AC00075,acquisition_case,
required_for,P00075,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00076,parcel,False,SYNTHETIC,AC00076,acquisition_case,
required_for,P00076,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00077,parcel,False,SYNTHETIC,AC00077,acquisition_case,
requires,AC00077,acquisition_case,True,SYNTHETIC,RR00077,rr_record,90
required_for,P00077,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00078,parcel,False,SYNTHETIC,AC00078,acquisition_case,
required_for,P00078,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00079,parcel,False,SYNTHETIC,AC00079,acquisition_case,
required_for,P00079,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00080,parcel,False,SYNTHETIC,AC00080,acquisition_case,
requires,AC00080,acquisition_case,True,SYNTHETIC,CR00080,compensation_record,60
required_for,P00080,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00081,parcel,False,SYNTHETIC,AC00081,acquisition_case,
required_for,P00081,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00082,parcel,False,SYNTHETIC,AC00082,acquisition_case,
required_for,P00082,parcel,False,SYNTHETIC,S03,project_segment,60
has,P00083,parcel,False,SYNTHETIC,AC00083,acquisition_case,
required_for,P00083,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00084,parcel,False,SYNTHETIC,AC00084,acquisition_case,
required_for,P00084,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00085,parcel,False,SYNTHETIC,AC00085,acquisition_case,
required_for,P00085,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00086,parcel,False,SYNTHETIC,AC00086,acquisition_case,
required_for,P00086,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00087,parcel,False,SYNTHETIC,AC00087,acquisition_case,
required_for,P00087,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00088,parcel,False,SYNTHETIC,AC00088,acquisition_case,
required_for,P00088,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00089,parcel,False,SYNTHETIC,AC00089,acquisition_case,
required_for,P00089,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00090,parcel,False,SYNTHETIC,AC00090,acquisition_case,
required_for,P00090,parcel,False,SYNTHETIC,S03,project_segment,60
has,P00091,parcel,False,SYNTHETIC,AC00091,acquisition_case,
requires,AC00091,acquisition_case,True,SYNTHETIC,CR00091,compensation_record,60
required_for,P00091,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00092,parcel,False,SYNTHETIC,AC00092,acquisition_case,
requires,AC00092,acquisition_case,True,SYNTHETIC,RR00092,rr_record,90
required_for,P00092,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00093,parcel,False,SYNTHETIC,AC00093,acquisition_case,
required_for,P00093,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00094,parcel,False,SYNTHETIC,AC00094,acquisition_case,
required_for,P00094,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00095,parcel,False,SYNTHETIC,AC00095,acquisition_case,
required_for,P00095,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00096,parcel,False,SYNTHETIC,AC00096,acquisition_case,
required_for,P00096,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00097,parcel,False,SYNTHETIC,AC00097,acquisition_case,
required_for,P00097,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00098,parcel,False,SYNTHETIC,AC00098,acquisition_case,
requires,AC00098,acquisition_case,True,SYNTHETIC,CR00098,compensation_record,60
required_for,P00098,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00099,parcel,False,SYNTHETIC,AC00099,acquisition_case,
required_for,P00099,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00100,parcel,False,SYNTHETIC,AC00100,acquisition_case,
required_for,P00100,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00101,parcel,False,SYNTHETIC,AC00101,acquisition_case,
blocks,LC00101,legal_case,True,SYNTHETIC,AC00101,acquisition_case,400
required_for,P00101,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00102,parcel,False,SYNTHETIC,AC00102,acquisition_case,
requires,AC00102,acquisition_case,True,SYNTHETIC,RR00102,rr_record,90
required_for,P00102,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00103,parcel,False,SYNTHETIC,AC00103,acquisition_case,
required_for,P00103,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00104,parcel,False,SYNTHETIC,AC00104,acquisition_case,
required_for,P00104,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00105,parcel,False,SYNTHETIC,AC00105,acquisition_case,
required_for,P00105,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00106,parcel,False,SYNTHETIC,AC00106,acquisition_case,
required_for,P00106,parcel,False,SYNTHETIC,S03,project_segment,60
has,P00107,parcel,False,SYNTHETIC,AC00107,acquisition_case,
required_for,P00107,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00108,parcel,False,SYNTHETIC,AC00108,acquisition_case,
required_for,P00108,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00109,parcel,False,SYNTHETIC,AC00109,acquisition_case,
required_for,P00109,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00110,parcel,False,SYNTHETIC,AC00110,acquisition_case,
required_for,P00110,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00111,parcel,False,SYNTHETIC,AC00111,acquisition_case,
required_for,P00111,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00112,parcel,False,SYNTHETIC,AC00112,acquisition_case,
required_for,P00112,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00113,parcel,False,SYNTHETIC,AC00113,acquisition_case,
blocked_by,VF00113,verification,True,SYNTHETIC,D00113,document,30
required_for,P00113,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00114,parcel,False,SYNTHETIC,AC00114,acquisition_case,
blocks,LC00114,legal_case,True,SYNTHETIC,AC00114,acquisition_case,400
required_for,P00114,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00115,parcel,False,SYNTHETIC,AC00115,acquisition_case,
required_for,P00115,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00116,parcel,False,SYNTHETIC,AC00116,acquisition_case,
required_for,P00116,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00117,parcel,False,SYNTHETIC,AC00117,acquisition_case,
required_for,P00117,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00118,parcel,False,SYNTHETIC,AC00118,acquisition_case,
required_for,P00118,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00119,parcel,False,SYNTHETIC,AC00119,acquisition_case,
required_for,P00119,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00120,parcel,False,SYNTHETIC,AC00120,acquisition_case,
required_for,P00120,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00121,parcel,False,SYNTHETIC,AC00121,acquisition_case,
required_for,P00121,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00122,parcel,False,SYNTHETIC,AC00122,acquisition_case,
required_for,P00122,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00123,parcel,False,SYNTHETIC,AC00123,acquisition_case,
required_for,P00123,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00124,parcel,False,SYNTHETIC,AC00124,acquisition_case,
required_for,P00124,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00125,parcel,False,SYNTHETIC,AC00125,acquisition_case,
requires,AC00125,acquisition_case,True,SYNTHETIC,CR00125,compensation_record,60
required_for,P00125,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00126,parcel,False,SYNTHETIC,AC00126,acquisition_case,
required_for,P00126,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00127,parcel,False,SYNTHETIC,AC00127,acquisition_case,
requires,AC00127,acquisition_case,True,SYNTHETIC,CR00127,compensation_record,60
required_for,P00127,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00128,parcel,False,SYNTHETIC,AC00128,acquisition_case,
required_for,P00128,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00129,parcel,False,SYNTHETIC,AC00129,acquisition_case,
requires,AC00129,acquisition_case,True,SYNTHETIC,RR00129,rr_record,90
required_for,P00129,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00130,parcel,False,SYNTHETIC,AC00130,acquisition_case,
required_for,P00130,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00131,parcel,False,SYNTHETIC,AC00131,acquisition_case,
requires,AC00131,acquisition_case,True,SYNTHETIC,CR00131,compensation_record,60
required_for,P00131,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00132,parcel,False,SYNTHETIC,AC00132,acquisition_case,
requires,AC00132,acquisition_case,True,SYNTHETIC,CR00132,compensation_record,60
required_for,P00132,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00133,parcel,False,SYNTHETIC,AC00133,acquisition_case,
required_for,P00133,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00134,parcel,False,SYNTHETIC,AC00134,acquisition_case,
required_for,P00134,parcel,False,SYNTHETIC,S03,project_segment,60
has,P00135,parcel,False,SYNTHETIC,AC00135,acquisition_case,
required_for,P00135,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00136,parcel,False,SYNTHETIC,AC00136,acquisition_case,
blocks,LC00136,legal_case,True,SYNTHETIC,AC00136,acquisition_case,400
required_for,P00136,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00137,parcel,False,SYNTHETIC,AC00137,acquisition_case,
blocked_by,VF00137,verification,True,SYNTHETIC,D00137,document,30
required_for,P00137,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00138,parcel,False,SYNTHETIC,AC00138,acquisition_case,
blocked_by,VF00138,verification,True,SYNTHETIC,D00138,document,30
required_for,P00138,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00139,parcel,False,SYNTHETIC,AC00139,acquisition_case,
requires,AC00139,acquisition_case,True,SYNTHETIC,CR00139,compensation_record,60
required_for,P00139,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00140,parcel,False,SYNTHETIC,AC00140,acquisition_case,
required_for,P00140,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00141,parcel,False,SYNTHETIC,AC00141,acquisition_case,
required_for,P00141,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00142,parcel,False,SYNTHETIC,AC00142,acquisition_case,
required_for,P00142,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00143,parcel,False,SYNTHETIC,AC00143,acquisition_case,
required_for,P00143,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00144,parcel,False,SYNTHETIC,AC00144,acquisition_case,
required_for,P00144,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00145,parcel,False,SYNTHETIC,AC00145,acquisition_case,
required_for,P00145,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00146,parcel,False,SYNTHETIC,AC00146,acquisition_case,
required_for,P00146,parcel,False,SYNTHETIC,S03,project_segment,60
has,P00147,parcel,False,SYNTHETIC,AC00147,acquisition_case,
blocks,LC00147,legal_case,True,SYNTHETIC,AC00147,acquisition_case,400
required_for,P00147,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00148,parcel,False,SYNTHETIC,AC00148,acquisition_case,
required_for,P00148,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00149,parcel,False,SYNTHETIC,AC00149,acquisition_case,
requires,AC00149,acquisition_case,True,SYNTHETIC,RR00149,rr_record,90
required_for,P00149,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00150,parcel,False,SYNTHETIC,AC00150,acquisition_case,
required_for,P00150,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00151,parcel,False,SYNTHETIC,AC00151,acquisition_case,
required_for,P00151,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00152,parcel,False,SYNTHETIC,AC00152,acquisition_case,
requires,AC00152,acquisition_case,True,SYNTHETIC,RR00152,rr_record,90
required_for,P00152,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00153,parcel,False,SYNTHETIC,AC00153,acquisition_case,
required_for,P00153,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00154,parcel,False,SYNTHETIC,AC00154,acquisition_case,
required_for,P00154,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00155,parcel,False,SYNTHETIC,AC00155,acquisition_case,
required_for,P00155,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00156,parcel,False,SYNTHETIC,AC00156,acquisition_case,
required_for,P00156,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00157,parcel,False,SYNTHETIC,AC00157,acquisition_case,
required_for,P00157,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00158,parcel,False,SYNTHETIC,AC00158,acquisition_case,
blocked_by,VF00158,verification,True,SYNTHETIC,D00158,document,30
required_for,P00158,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00159,parcel,False,SYNTHETIC,AC00159,acquisition_case,
required_for,P00159,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00160,parcel,False,SYNTHETIC,AC00160,acquisition_case,
required_for,P00160,parcel,True,SYNTHETIC,S01,project_segment,60
has,P00161,parcel,False,SYNTHETIC,AC00161,acquisition_case,
blocked_by,VF00161,verification,True,SYNTHETIC,D00161,document,30
required_for,P00161,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00162,parcel,False,SYNTHETIC,AC00162,acquisition_case,
required_for,P00162,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00163,parcel,False,SYNTHETIC,AC00163,acquisition_case,
requires,AC00163,acquisition_case,True,SYNTHETIC,CR00163,compensation_record,60
required_for,P00163,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00164,parcel,False,SYNTHETIC,AC00164,acquisition_case,
required_for,P00164,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00165,parcel,False,SYNTHETIC,AC00165,acquisition_case,
required_for,P00165,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00166,parcel,False,SYNTHETIC,AC00166,acquisition_case,
required_for,P00166,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00167,parcel,False,SYNTHETIC,AC00167,acquisition_case,
required_for,P00167,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00168,parcel,False,SYNTHETIC,AC00168,acquisition_case,
required_for,P00168,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00169,parcel,False,SYNTHETIC,AC00169,acquisition_case,
required_for,P00169,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00170,parcel,False,SYNTHETIC,AC00170,acquisition_case,
required_for,P00170,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00171,parcel,False,SYNTHETIC,AC00171,acquisition_case,
required_for,P00171,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00172,parcel,False,SYNTHETIC,AC00172,acquisition_case,
required_for,P00172,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00173,parcel,False,SYNTHETIC,AC00173,acquisition_case,
requires,AC00173,acquisition_case,True,SYNTHETIC,CR00173,compensation_record,60
required_for,P00173,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00174,parcel,False,SYNTHETIC,AC00174,acquisition_case,
required_for,P00174,parcel,False,SYNTHETIC,S03,project_segment,60
has,P00175,parcel,False,SYNTHETIC,AC00175,acquisition_case,
blocked_by,VF00175,verification,True,SYNTHETIC,D00175,document,30
required_for,P00175,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00176,parcel,False,SYNTHETIC,AC00176,acquisition_case,
required_for,P00176,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00177,parcel,False,SYNTHETIC,AC00177,acquisition_case,
required_for,P00177,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00178,parcel,False,SYNTHETIC,AC00178,acquisition_case,
blocked_by,VF00178,verification,True,SYNTHETIC,D00178,document,30
required_for,P00178,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00179,parcel,False,SYNTHETIC,AC00179,acquisition_case,
blocked_by,VF00179,verification,True,SYNTHETIC,D00179,document,30
required_for,P00179,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00180,parcel,False,SYNTHETIC,AC00180,acquisition_case,
required_for,P00180,parcel,False,SYNTHETIC,S01,project_segment,60
